ID,RECHNERBEZ,DCELINK_ID,SCHWEISSGERAETE_NAME,ORTSNUMMER,WIP,BOLZEN_ID,KAROSSERIE_ID,AUSGANGS_ID,SCHWEISSPROGRAMM_ID,SCHWEISSSTROM_IST,SCHWEISSZEIT_IST,UL_HAUPTSTROM_IST,UL_VORSTROM_IST,HUBHOEHE_IST,HUBHOEHE_SOLL,ABFALLZEIT_IST,ABFALLZEIT_SOLL,DURCHDRINGUNG_IST,SCHWEISSENERGIE_IST
2131682,M050UB92BRT2,459696,15 UB92 130SWB121,8813,1,24610038,17446840,1,29,750,30.20000076,25.79999924,23.79999924,1.49000001,1.5,9.600000381,9.399999619,-0.967999995,588
2131179,M050UB93BRT1,1161185,15 UB93 030SWB521,8822,1,22610092,17446774,1,114,750,30.20000076,26.39999962,25,1.49000001,1.5,10.30000019,10.10000038,-0.915000021,603
2131892,M050UB92BRT2,459680,15 UB92 130SWB521,8817,1,24610030,17446840,1,83,750,30.5,26.60000038,23.39999962,1.700000048,1.700000048,9.699999809,9.199999809,-0.493000001,613
2132002,M050UB92BRT2,459690,15 UB92 130SWB321,8815,1,24610019,17446840,1,120,750,29.89999962,25.60000038,23.79999924,1.50999999,1.5,9.399999619,9.399999619,-0.633000016,584
2130643,M050UB93BRT1,1161186,15 UB93 030SWB121,8819,1,22610109,17446774,1,49,750,29.70000076,25,23.60000038,1.49000001,1.5,9.600000381,9.899999619,-0.845000029,571
2131790,M050UB92BRT2,459697,15 UB92 130SWB421,8816,1,24610087,17446840,1,72,750,30.5,25.79999924,23.60000038,1.49000001,1.5,10.30000019,9.800000191,-0.898000002,596
2131340,M050UB93BRT1,1161187,15 UB93 030SWB421,8821,1,22610344,17446774,1,173,750,30.20000076,26.60000038,25,1.49000001,1.5,9.600000381,9.399999619,-0.915000021,609
2131583,M050UB92BRT2,459706,15 UB92 130SWB221,8814,1,24620077,17446840,2,162,960,44.09999847,26.39999962,19.60000038,0.790000021,0.800000012,8.699999809,8.600000381,-0.898000002,1133
2131683,M050UB92BRT2,459700,15 UB92 130SWB121,8813,1,24610206,17446840,1,77,750,29.89999962,26.79999924,24,1.49000001,1.5,10.30000019,10.30000019,-0.967999995,608
2130441,M050UB93BRT1,1161188,15 UB93 030SWB221,8820,1,22620129,17446774,1,118,770,32,27.79999924,24,1.50999999,1.5,10.10000038,10.10000038,-1.003000021,685
2131180,M050UB93BRT1,1161189,15 UB93 030SWB521,8822,1,22610054,17446774,1,57,750,29.20000076,27,25,1.50999999,1.5,9.300000191,10.10000038,-0.898000002,603
2131893,M050UB92BRT2,459684,15 UB92 130SWB521,8817,1,24610043,17446840,1,97,750,30.20000076,25.60000038,23,1.679999948,1.700000048,9.5,9.300000191,-0.439999998,587
2132003,M050UB92BRT2,459695,15 UB92 130SWB321,8815,1,24610005,17446840,1,85,750,30.20000076,25.20000076,23.79999924,1.49000001,1.5,10.39999962,10.19999981,-1.037999988,578
2130644,M050UB93BRT1,1161190,15 UB93 030SWB121,8819,1,22610826,17446774,1,56,750,30.5,24.39999962,23,1.49000001,1.5,9.699999809,9.199999809,-0.66900003,565
2131341,M050UB93BRT1,1161191,15 UB93 030SWB421,8821,1,22610422,17446774,1,205,750,29.89999962,25.60000038,23.60000038,1.49000001,1.5,9.699999809,9.699999809,-0.898000002,580
2131584,M050UB92BRT2,459710,15 UB92 130SWB221,8814,1,24620078,17446840,2,163,920,42.29999924,25.39999962,19.39999962,0.800000012,0.800000012,8.399999619,8.100000381,-0.862999976,996
2130442,M050UB93BRT1,1161192,15 UB93 030SWB221,8820,1,22620135,17446774,1,121,750,30.39999962,25.79999924,24,1.49000001,1.5,10.30000019,9.800000191,-1.055999994,594
2131894,M050UB92BRT2,459689,15 UB92 130SWB521,8817,1,24610208,17446840,1,116,750,30,23.60000038,21.60000038,1.700000048,1.700000048,9.600000381,9.600000381,-0.527999997,538
2131684,M050UB92BRT2,459705,15 UB92 130SWB121,8813,1,24610204,17446840,1,69,750,34.29999924,25.60000038,22.39999962,1.49000001,1.5,9,8.699999809,-0.615999997,660
2131791,M050UB92BRT2,459704,15 UB92 130SWB421,8816,1,24610386,17446840,1,232,750,29.89999962,25.20000076,23.60000038,1.49000001,1.5,9.5,9.5,-0.757000029,577
2131181,M050UB93BRT1,1161193,15 UB93 030SWB521,8822,1,22610064,17446774,1,111,750,29.89999962,26.20000076,24.39999962,1.49000001,1.5,10.10000038,10.10000038,-0.897000015,593
2132004,M050UB92BRT2,459701,15 UB92 130SWB321,8815,1,24610823,17446840,1,281,750,29.89999962,24.79999924,23.79999924,1.50999999,1.5,9.199999809,9.199999809,-0.546000004,566
2130645,M050UB93BRT1,1161194,15 UB93 030SWB121,8819,1,22610002,17446774,1,41,750,29.5,26,24.20000076,1.49000001,1.5,9.5,10,-0.791999996,586
2131342,M050UB93BRT1,1161195,15 UB93 030SWB421,8821,1,22610343,17446774,1,170,750,30.20000076,25.79999924,24,1.50999999,1.5,10.30000019,10.10000038,-0.933000028,589
2130443,M050UB93BRT1,1161197,15 UB93 030SWB221,8820,1,22620136,17446774,1,129,750,30.5,27.60000038,24.79999924,1.50999999,1.5,10.30000019,9.800000191,-1.072999954,631
2131895,M050UB92BRT2,459693,15 UB92 130SWB521,8817,1,24610009,17446840,1,12,750,29.5,25.60000038,22.79999924,1.679999948,1.700000048,9.399999619,9.899999619,-0.898000002,579
2131182,M050UB93BRT1,1161196,15 UB93 030SWB521,8822,1,22610163,17446774,1,125,750,30.70000076,25.20000076,23.79999924,1.49000001,1.5,10.19999981,9.5,-0.845000029,585
